,Z,N,M_ex,Esh,alpha2,alpha4,alpha6,S_Z0N1,S_Z0N2,S_Z1N0,S_Z2N0,exist
0,9,10,-2.33,0.08,0.121,0.01,-0.003,10.581,20.652,7.909,24.238,True
1,9,11,-0.48,0.01,0.121,0.011,-0.009,6.221,16.802,9.899,27.188000000000002,True
2,10,12,-7.74,0.11,0.147,-0.012,-0.009,10.350999999999999,17.322,14.219,24.938,True
3,10,13,-5.38,-0.51,0.071,-0.019,-0.003,5.710999999999999,16.061999999999998,14.678999999999998,27.328,True
4,10,14,-6.23,-1.47,0.022,0.0,0.0,8.921,14.632,16.609,30.038,True
5,10,15,-1.91,-1.71,0.054,0.0,-0.005,3.7509999999999994,12.672,17.238999999999997,32.418,True
6,11,12,-8.7,0.24,0.174,-0.008,-0.006,11.591,22.902,8.248999999999999,22.467999999999996,True
7,11,13,-8.07,-0.22,0.078,-0.028,0.002,7.441000000000001,19.032,9.979,24.658,True
8,11,14,-9.74,-1.25,0.022,0.0,0.0,9.741,17.182000000000002,10.799,27.408,True
9,11,15,-7.06,-1.35,0.043,-0.001,0.0,5.390999999999999,15.131999999999998,12.439,29.677999999999997,True
10,12,12,-12.59,0.01,0.147,-0.025,-0.007,15.971,28.552,11.179,19.427999999999997,True
11,12,13,-12.71,-0.49,0.074,-0.023,0.0,8.191,24.162,11.929,21.908,True
12,12,14,-16.34,-1.49,0.022,0.0,0.0,11.700999999999999,19.892,13.889,24.688,True
13,12,15,-14.24,-1.53,0.043,-0.001,-0.002,5.971,17.671999999999997,14.469000000000001,26.908,True
14,12,16,-14.68,-1.31,0.02,-0.001,0.0,8.511,14.482,16.278999999999996,29.427999999999997,True
15,12,17,-10.45,-0.74,0.056,0.013,-0.005,3.8409999999999993,12.351999999999999,16.929,31.778,True
16,12,18,-9.1,-0.43,0.094,-0.004,-0.005,6.721,10.562,18.779,34.428,True
17,12,19,-3.8,-0.08,0.051,-0.015,-0.003,2.771,9.492,19.359,36.718,True
18,13,12,-8.4,-0.39,0.074,-0.023,0.0,16.761,30.992,3.099,14.278,True
19,13,13,-12.57,-1.17,0.073,-0.02,0.0,12.241,29.002,7.148999999999999,19.078,True
20,13,14,-17.5,-2.19,0.022,0.0,0.0,13.001,25.241999999999997,8.449,22.338,True
21,13,15,-17.05,-2.15,0.032,0.005,0.0,7.621,20.622,10.099,24.568,True
22,13,16,-18.11,-1.91,0.02,-0.001,0.0,9.130999999999998,16.752,10.719,26.997999999999998,True
23,13,17,-15.55,-1.36,0.06,0.003,-0.002,5.511000000000001,14.642,12.389000000000001,29.317999999999998,True
24,13,18,-14.86,-1.08,0.077,-0.009,-0.007,7.3809999999999985,12.892,13.049,31.828,True
25,13,19,-11.27,-0.89,0.05,-0.015,-0.003,4.481,11.861999999999998,14.759,34.117999999999995,True
26,13,20,-9.34,-0.86,0.016,-0.001,0.0,6.141,10.622,15.408999999999999,36.548,True
27,13,21,-4.12,-0.25,0.047,0.008,-0.004,2.851,8.992,16.948999999999998,38.618,True
28,14,14,-21.45,-3.21,0.022,0.0,0.0,16.860999999999997,30.392,11.238999999999999,19.688,True
29,14,15,-21.58,-3.13,0.021,-0.001,0.0,8.200999999999999,25.061999999999998,11.818999999999997,21.918,True
30,14,16,-24.43,-2.88,0.02,-0.001,0.0,10.921000000000001,19.122,13.609,24.328,True
31,14,17,-22.39,-2.29,0.027,0.0,-0.006,6.031000000000001,16.952,14.129,26.518,True
32,14,18,-23.32,-1.94,0.023,-0.001,-0.002,9.001,15.032,15.749,28.798000000000002,True
33,14,19,-20.41,-1.92,0.023,-0.001,-0.004,5.161,14.161999999999999,16.429000000000002,31.188,True
34,14,20,-20.3,-2.11,0.016,-0.001,0.0,7.961,13.122,18.249000000000002,33.658,True
35,14,21,-15.49,-1.44,0.027,0.0,-0.006,3.2609999999999992,11.222,18.659,35.608000000000004,True
36,14,22,-13.38,-1.0,0.027,0.001,-0.007,5.961,9.222,20.059,37.588,True
37,14,23,-7.97,-0.85,0.026,0.002,-0.006,2.6609999999999987,8.622,20.488999999999997,39.337999999999994,True
38,14,24,-5.2,-0.94,0.025,-0.002,-0.005,5.301,7.962,21.979,41.367999999999995,True
39,14,25,0.71,-1.25,0.026,-0.002,-0.005,2.1609999999999996,7.462,22.469,43.428,True
40,14,26,4.13,-1.76,0.024,-0.001,-0.002,4.651,6.811999999999999,23.939,45.708,True
41,15,14,-16.62,-3.01,0.021,-0.001,0.0,17.331000000000003,32.422,2.4590000000000014,13.698,True
42,15,15,-19.95,-2.78,0.021,-0.001,0.0,11.400999999999998,28.732,5.659000000000001,17.477999999999998,True
43,15,16,-23.85,-2.42,0.02,-0.001,0.0,11.971000000000002,23.372,6.709000000000001,20.318,True
44,15,17,-23.38,-1.81,0.036,0.002,-0.003,7.600999999999997,19.572,8.278999999999998,22.407999999999998,True
45,15,18,-24.93,-1.52,0.062,-0.001,0.0,9.621,17.221999999999998,8.899,24.648,True
46,15,19,-23.53,-1.48,0.029,-0.007,-0.004,6.671000000000001,16.292,10.409,26.838,True
47,15,20,-23.99,-1.7,0.016,-0.001,0.0,8.530999999999997,15.201999999999998,10.978999999999997,29.227999999999998,True
48,15,21,-20.62,-1.02,0.044,0.01,0.0,4.701000000000002,13.232,12.419,31.078,True
49,15,22,-19.12,-0.68,0.063,0.004,-0.004,6.571,11.272000000000002,13.029,33.088,True
50,15,23,-15.12,-0.54,0.064,0.014,-0.004,4.070999999999998,10.641999999999998,14.439,34.928,True
51,15,24,-12.86,-0.66,0.062,0.012,-0.004,5.811,9.881999999999998,14.948999999999998,36.928,True
52,15,25,-8.31,-1.02,0.061,0.013,-0.003,3.521000000000001,9.332,16.308999999999997,38.778000000000006,True
53,15,26,-5.37,-1.55,0.055,0.001,-0.005,5.130999999999999,8.652000000000001,16.789,40.728,True
54,15,27,-0.25,-2.26,0.035,-0.008,0.0,2.9509999999999996,8.081999999999999,18.049,42.608000000000004,True
55,15,28,3.31,-3.14,0.011,-0.001,0.0,4.510999999999999,7.462,18.499,44.558,True
56,16,16,-25.54,-1.85,0.02,-0.001,0.0,15.141,27.552,8.978999999999997,15.687999999999999,True
57,16,17,-25.61,-1.22,0.055,0.012,0.0,8.141,23.282,9.519,17.798,True
58,16,18,-28.86,-0.99,0.073,0.003,-0.005,11.321,19.462,11.219,20.118,True
59,16,19,-27.95,-0.94,0.035,-0.004,-0.003,7.161,18.482,11.708999999999998,22.118,True
60,16,20,-29.96,-1.15,0.016,-0.001,0.0,10.081000000000001,17.242,13.259000000000002,24.238,True
61,16,21,-27.14,-0.57,0.047,0.015,-0.001,5.2509999999999994,15.332,13.809,26.228,True
62,16,22,-27.27,-0.38,0.09,0.021,-0.003,8.200999999999999,13.451999999999998,15.438999999999998,28.467999999999996,True
63,16,23,-23.96,-0.51,0.115,0.029,-0.006,4.761000000000001,12.962,16.129,30.568,True
64,16,24,-23.16,-0.69,0.115,0.007,-0.008,7.270999999999999,12.032,17.589,32.538,True
65,16,25,-18.9,-0.94,0.099,-0.009,-0.006,3.810999999999998,11.081999999999997,17.878999999999998,34.188,True
66,16,26,-17.18,-1.36,0.07,-0.01,-0.001,6.351000000000001,10.161999999999999,19.098999999999997,35.888,True
67,16,27,-12.38,-2.03,0.037,-0.014,-0.002,3.271000000000001,9.622000000000002,19.419,37.468,True
68,16,28,-10.03,-2.85,0.011,-0.001,0.0,5.720999999999998,8.991999999999999,20.628999999999998,39.128,True
69,16,29,-3.49,-2.63,0.036,0.014,-0.004,1.5310000000000006,7.251999999999999,20.979,40.548,True
70,16,30,0.78,-2.45,0.046,0.001,-0.005,3.8009999999999993,5.332000000000001,22.119,42.007999999999996,True
71,16,31,8.04,-2.29,0.036,-0.01,-0.003,0.8110000000000008,4.612,22.349000000000004,43.248000000000005,True
72,17,16,-20.07,-1.13,0.057,0.01,0.001,15.651,29.592,1.8190000000000008,10.797999999999998,True
73,17,17,-23.44,-0.79,0.092,0.017,-0.003,11.441,27.092,5.1190000000000015,14.638000000000002,True
74,17,18,-27.79,-0.6,0.081,0.002,-0.01,12.420999999999998,23.862,6.218999999999999,17.438,True
75,17,19,-28.28,-0.48,0.05,-0.015,0.0,8.561000000000002,20.982,7.6190000000000015,19.328,True
76,17,20,-30.78,-0.67,0.016,-0.001,0.0,10.571,19.132,8.109,21.368000000000002,True
77,17,21,-29.5,-0.2,0.049,0.017,-0.001,6.790999999999999,17.362,9.649,23.458,True
78,17,22,-30.27,-0.17,0.093,0.024,-0.004,8.841,15.631999999999998,10.289,25.727999999999998,True
79,17,23,-28.4,-0.39,0.118,0.016,-0.009,6.200999999999999,15.041999999999998,11.728999999999997,27.857999999999997,True
80,17,24,-28.25,-0.76,0.129,-0.002,-0.016,7.921000000000001,14.122,12.379,29.968,True
